ts,machine_id,machine_state,product_id,customer_id,shift,operator_note
2026-07-01 06:00:00,CNC-01,SETUP,P-4472,CustA,A,setup / changeover
2026-07-01 06:19:00,CNC-01,RUNNING,P-4472,CustA,A,
2026-07-01 06:51:20,CNC-01,STOPPED,P-4472,CustA,A,temp high
2026-07-01 06:52:09,CNC-01,RUNNING,P-4472,CustA,A,
2026-07-01 07:24:17,CNC-01,STOPPED,P-4472,CustA,A,blade dull
2026-07-01 07:28:35,CNC-01,RUNNING,P-4472,CustA,A,
2026-07-01 09:49:18,CNC-01,STOPPED,P-4472,CustA,A,changed insert
2026-07-01 09:52:48,CNC-01,RUNNING,P-4472,CustA,A,
2026-07-02 00:08:42,CNC-01,STOPPED,P-2201,CustC,C,
2026-07-02 00:08:43,CNC-01,RUNNING,P-2201,CustC,C,
2026-07-02 02:53:40,CNC-01,STOPPED,P-2201,CustC,C,blade dull
2026-07-02 02:54:14,CNC-01,RUNNING,P-2201,CustC,C,
2026-07-02 06:04:00,CNC-01,SETUP,P-2201,CustC,A,setup / changeover
2026-07-02 06:16:00,CNC-01,RUNNING,P-2201,CustC,A,
2026-07-03 06:06:00,CNC-01,SETUP,P-2201,CustC,A,setup / changeover
2026-07-03 06:22:00,CNC-01,RUNNING,P-2201,CustC,A,
2026-07-04 01:25:07,CNC-01,STOPPED,P-4471,CustA,C,tooling
2026-07-04 01:26:36,CNC-01,RUNNING,P-4471,CustA,C,
2026-07-04 06:01:00,CNC-01,SETUP,P-4471,CustA,A,setup / changeover
2026-07-04 06:19:00,CNC-01,RUNNING,P-4471,CustA,A,
2026-07-04 19:59:16,CNC-01,STOPPED,P-4471,CustA,B,
2026-07-04 19:59:17,CNC-01,RUNNING,P-4471,CustA,B,
2026-07-04 22:47:20,CNC-01,STOPPED,P-4471,CustA,C,atasco
2026-07-04 22:47:41,CNC-01,RUNNING,P-4471,CustA,C,
2026-07-05 06:10:00,CNC-01,SETUP,P-4472,CustA,A,setup / changeover
2026-07-05 06:21:00,CNC-01,RUNNING,P-4472,CustA,A,
2026-07-05 07:56:08,CNC-01,STOPPED,P-4472,CustA,A,tool worn
2026-07-05 08:00:01,CNC-01,RUNNING,P-4472,CustA,A,
2026-07-05 16:40:16,CNC-01,STOPPED,P-4472,CustA,B,detector fault
2026-07-05 16:42:05,CNC-01,RUNNING,P-4472,CustA,B,
2026-07-06 06:03:00,CNC-01,SETUP,P-4472,CustA,A,setup / changeover
2026-07-06 06:16:00,CNC-01,RUNNING,P-4472,CustA,A,
2026-07-06 06:42:12,CNC-01,STOPPED,P-4472,CustA,A,blade dull
2026-07-06 06:46:23,CNC-01,RUNNING,P-4472,CustA,A,
2026-07-06 13:22:19,CNC-01,STOPPED,P-4472,CustA,A,changed insert
2026-07-06 13:26:08,CNC-01,RUNNING,P-4472,CustA,A,
2026-07-06 16:37:16,CNC-01,STOPPED,P-4472,CustA,B,
2026-07-06 16:37:17,CNC-01,RUNNING,P-4472,CustA,B,
2026-07-07 06:19:00,CNC-01,SETUP,P-4472,CustA,A,setup / changeover
2026-07-07 06:33:00,CNC-01,RUNNING,P-4472,CustA,A,
2026-07-07 11:29:28,CNC-01,STOPPED,P-4472,CustA,A,changed insert
2026-07-07 11:33:44,CNC-01,RUNNING,P-4472,CustA,A,
2026-07-08 06:15:00,CNC-01,SETUP,P-4472,CustA,A,setup / changeover
2026-07-08 06:32:00,CNC-01,RUNNING,P-4472,CustA,A,
2026-07-08 11:48:57,CNC-01,STOPPED,P-4472,CustA,A,tooling
2026-07-08 11:53:13,CNC-01,RUNNING,P-4472,CustA,A,
2026-07-09 01:29:44,CNC-01,STOPPED,P-4472,CustA,C,
2026-07-09 01:29:45,CNC-01,RUNNING,P-4472,CustA,C,
2026-07-09 06:04:00,CNC-01,SETUP,P-4472,CustA,A,setup / changeover
2026-07-09 06:23:00,CNC-01,RUNNING,P-4472,CustA,A,
2026-07-09 08:03:16,CNC-01,STOPPED,P-4472,CustA,A,blade dull
2026-07-09 08:07:24,CNC-01,RUNNING,P-4472,CustA,A,
2026-07-09 10:06:37,CNC-01,STOPPED,P-4472,CustA,A,
2026-07-09 10:06:38,CNC-01,RUNNING,P-4472,CustA,A,
2026-07-09 17:41:04,CNC-01,STOPPED,P-4472,CustA,B,matl jam again
2026-07-09 17:42:55,CNC-01,RUNNING,P-4472,CustA,B,
2026-07-10 06:09:00,CNC-01,SETUP,P-4472,CustA,A,setup / changeover
2026-07-10 06:26:00,CNC-01,RUNNING,P-4472,CustA,A,
2026-07-10 10:39:51,CNC-01,STOPPED,P-4472,CustA,A,tool chg
2026-07-10 10:44:19,CNC-01,RUNNING,P-4472,CustA,A,
2026-07-11 06:15:00,CNC-01,SETUP,P-4472,CustA,A,setup / changeover
2026-07-11 06:31:00,CNC-01,RUNNING,P-4472,CustA,A,
2026-07-11 09:16:42,CNC-01,STOPPED,P-4472,CustA,A,feed problem
2026-07-11 09:17:17,CNC-01,RUNNING,P-4472,CustA,A,
2026-07-11 10:45:18,CNC-01,STOPPED,P-4472,CustA,A,
2026-07-11 10:45:19,CNC-01,RUNNING,P-4472,CustA,A,
2026-07-11 12:31:04,CNC-01,STOPPED,P-4472,CustA,A,tool worn
2026-07-11 12:35:37,CNC-01,RUNNING,P-4472,CustA,A,
2026-07-12 06:13:00,CNC-01,SETUP,P-8810,CustB,A,setup / changeover
2026-07-12 06:22:00,CNC-01,RUNNING,P-8810,CustB,A,
2026-07-12 10:35:08,CNC-01,STOPPED,P-8810,CustB,A,
2026-07-12 10:35:09,CNC-01,RUNNING,P-8810,CustB,A,
2026-07-12 13:33:41,CNC-01,STOPPED,P-8810,CustB,A,inspect part
2026-07-12 13:34:31,CNC-01,RUNNING,P-8810,CustB,A,
2026-07-13 06:15:00,CNC-01,SETUP,P-2201,CustC,A,setup / changeover
2026-07-13 06:24:00,CNC-01,RUNNING,P-2201,CustC,A,
2026-07-14 06:10:00,CNC-01,SETUP,P-4471,CustA,A,setup / changeover
2026-07-14 06:29:00,CNC-01,RUNNING,P-4471,CustA,A,
2026-07-14 18:43:34,CNC-01,STOPPED,P-4471,CustA,B,
2026-07-14 18:43:35,CNC-01,RUNNING,P-4471,CustA,B,
2026-07-14 23:15:40,CNC-01,STOPPED,P-4471,CustA,C,out of material
2026-07-14 23:16:24,CNC-01,RUNNING,P-4471,CustA,C,
2026-07-15 03:58:39,CNC-01,STOPPED,P-4472,CustA,C,
2026-07-15 03:58:40,CNC-01,RUNNING,P-4472,CustA,C,
2026-07-15 06:09:00,CNC-01,SETUP,P-4472,CustA,A,setup / changeover
2026-07-15 06:20:00,CNC-01,RUNNING,P-4472,CustA,A,
2026-07-15 08:05:58,CNC-01,STOPPED,P-4472,CustA,A,blade dull
2026-07-15 08:09:55,CNC-01,RUNNING,P-4472,CustA,A,
2026-07-15 12:11:12,CNC-01,STOPPED,P-4472,CustA,A,tooling
2026-07-15 12:14:48,CNC-01,RUNNING,P-4472,CustA,A,
2026-07-16 06:09:00,CNC-01,SETUP,P-4472,CustA,A,setup / changeover
2026-07-16 06:27:00,CNC-01,RUNNING,P-4472,CustA,A,
2026-07-16 11:15:08,CNC-01,STOPPED,P-4472,CustA,A,tooling
2026-07-16 11:15:31,CNC-01,RUNNING,P-4472,CustA,A,
2026-07-16 13:05:42,CNC-01,STOPPED,P-4472,CustA,A,tooling
2026-07-16 13:09:29,CNC-01,RUNNING,P-4472,CustA,A,
2026-07-17 06:08:00,CNC-01,SETUP,P-4471,CustA,A,setup / changeover
2026-07-17 06:18:00,CNC-01,RUNNING,P-4471,CustA,A,
2026-07-17 16:04:08,CNC-01,STOPPED,P-4471,CustA,B,
2026-07-17 16:04:09,CNC-01,RUNNING,P-4471,CustA,B,
2026-07-18 06:20:00,CNC-01,SETUP,P-4472,CustA,A,setup / changeover
2026-07-18 06:37:00,CNC-01,RUNNING,P-4472,CustA,A,
2026-07-18 06:37:35,CNC-01,STOPPED,P-4472,CustA,A,blade dull
2026-07-18 06:42:06,CNC-01,RUNNING,P-4472,CustA,A,
2026-07-18 19:55:42,CNC-01,STOPPED,P-4472,CustA,B,temp high
2026-07-18 19:57:29,CNC-01,RUNNING,P-4472,CustA,B,
2026-07-19 06:02:00,CNC-01,SETUP,P-2201,CustC,A,setup / changeover
2026-07-19 06:12:00,CNC-01,RUNNING,P-2201,CustC,A,
2026-07-19 13:47:27,CNC-01,STOPPED,P-2201,CustC,A,detector fault
2026-07-19 13:47:58,CNC-01,RUNNING,P-2201,CustC,A,
2026-07-19 14:20:10,CNC-01,STOPPED,P-2201,CustC,B,
2026-07-19 14:20:11,CNC-01,RUNNING,P-2201,CustC,B,
2026-07-20 06:13:00,CNC-01,SETUP,P-8810,CustB,A,setup / changeover
2026-07-20 06:30:00,CNC-01,RUNNING,P-8810,CustB,A,
2026-07-21 04:32:23,CNC-01,STOPPED,P-4472,CustA,C,jam
2026-07-21 04:33:24,CNC-01,RUNNING,P-4472,CustA,C,
2026-07-21 06:14:00,CNC-01,SETUP,P-4472,CustA,A,setup / changeover
2026-07-21 06:32:00,CNC-01,RUNNING,P-4472,CustA,A,
2026-07-21 11:04:21,CNC-01,STOPPED,P-4472,CustA,A,tooling
2026-07-21 11:07:53,CNC-01,RUNNING,P-4472,CustA,A,
2026-07-21 12:18:16,CNC-01,STOPPED,P-4472,CustA,A,tooling
2026-07-21 12:23:00,CNC-01,RUNNING,P-4472,CustA,A,
2026-07-01 06:07:00,CNC-02,SETUP,P-4471,CustA,A,setup / changeover
2026-07-01 06:17:00,CNC-02,RUNNING,P-4471,CustA,A,
2026-07-01 06:27:00,CNC-02,STOPPED,P-4471,CustA,A,jaam
2026-07-01 06:27:50,CNC-02,RUNNING,P-4471,CustA,A,
2026-07-01 06:34:00,CNC-02,STOPPED,P-4471,CustA,A,atasco
2026-07-01 06:35:29,CNC-02,RUNNING,P-4471,CustA,A,
2026-07-01 06:41:00,CNC-02,STOPPED,P-4471,CustA,A,
2026-07-01 06:42:00,CNC-02,RUNNING,P-4471,CustA,A,
2026-07-01 06:47:00,CNC-02,STOPPED,P-4471,CustA,A,material stuck
2026-07-01 06:48:18,CNC-02,RUNNING,P-4471,CustA,A,
2026-07-01 20:17:59,CNC-02,STOPPED,P-4471,CustA,B,blade dull
2026-07-01 20:19:41,CNC-02,RUNNING,P-4471,CustA,B,
2026-07-02 06:17:00,CNC-02,SETUP,P-4471,CustA,A,setup / changeover
2026-07-02 06:33:00,CNC-02,RUNNING,P-4471,CustA,A,
2026-07-02 06:39:00,CNC-02,STOPPED,P-4471,CustA,A,
